Sample_ID,Label,UTM_Est,UTM_Nord,Olive_Weight,Major_Olive_Axis,Leaf_Area
OIR42,OIR,499307.92,4542249.904,2.89428571428571,2.474,4.92333333333333
OIR43,OIR,499708.224,4542295.731,2.05739130434783,1.739,3.872
OIR44,OIR,499720.434,4542267.658,2.7632,1.992,4.548
OIR45,OIR,499730.247,4542238.338,2.8296,2.353,5.633
OIR46,OIR,499622.69,4547963.047,2.8576,2.333,6.229
OIR47,OIR,499620.507,4547958.162,1.9152,1.739,3.976
OIR50,OIR,498423.089,4548108.074,2.73816326530612,2.622,4.914
OIR51,OIR,498469.463,4548137.588,2.52823529411765,2.003,4.033
OIR53,OIR,498495.25,4548165.116,2.5416,2.404,2.719
OIR56,OIR,501637.433,4548649.937,1.25951219512195,1.778,3.412
OIR57,OIR,501599.813,4548616.068,2.126,1.688,2.905
OIR58,OIR,501662.963,4548664.263,1.60347826086957,1.637,4.142
OIR61,OIR,501719.58,4548622.86,2.384,2.118,3.2305
OIR62,OIR,501688.421,4548626.63,1.7416,1.8,3.422
OIR67,OIR,505174.086,4546494.878,2.35021739130435,2.497,5.1375
OIR68,OIR,505154.557,4546508.328,2.1322,2.062,5.144
OIR69,OIR,505130.035,4546511.298,2.53521739130435,2.16333333333333,8.165
OIR70,OIR,505114.009,4546519.763,2.758,2.16,5.153
OIR72,OIR,505125.568,4546453.958,1.8758,1.91,7.194
OIR73,OIR,484388.533,4511846.879,1.98266666666667,1.91,7.3059375
OIR74,OIR,484418.576,4511861.308,1.882,1.729,4.70939393939394
OSE1,OSE,520757.795,4499601.219,1.7168,1.927,5.641
OSE2,OSE,523410.415,4498753.479,1.5128,1.724,8.252
OSE5,OSE,522474.797,4499750.626,1.646,2.085,4.3736
OSE6,OSE,521834.712,4499540.143,1.569,1.822,4.0615
OSE7,OSE,521835.141,4499595.535,1.6682,1.554,4.849
OSE10,OSE,519350.058,4504207.085,1.45966666666667,1.85,5.708
OSE11,OSE,519344.176,4504210.855,1.74166666666667,1.952,7.6725
OSE12,OSE,519472.355,4505806.091,1.88833333333333,1.746,2.983
OSE15,OSE,519584.318,4505827.255,1.454,1.545,3.664
OSE16,OSE,520033.547,4507182.935,1.6284,2.063,5.195
OSE17,OSE,520033.166,4507189.55,1.8926,2.133,4.8085
OSE18,OSE,519573.264,4509823.184,1.71666666666667,1.47111111111111,7.249
OSE19,OSE,519798.523,4510236.945,1.87266666666667,2.107,3.808
OSE20,OSE,519786.42,4510248.346,1.93333333333333,1.884,5.093
OSE22,OSE,519758.663,4510747.574,2.1828,1.575,3.707
OSE23,OSE,519771.273,4510735.842,2.2686,1.619,4.994
OSE24,OSE,519376.47,4513398.27,1.93133333333333,1.975,5.734
OSE25,OSE,519375.582,4513382.727,2.014,1.927,6.638
OSE26,OSE,519319.618,4513937.167,1.5582,1.409,5.632
OSE27,OSE,519323.598,4513938.432,1.5284,1.847,3.792
OSE29,OSE,520398.898,4517187.444,1.965,2.062,4.08
OSE31,OSE,519091.557,4517846.997,1.5014,1.595,4.244
OSE32,OSE,519116.592,4517852.39,1.661,1.861,6.4
OSE34,OSE,519494.454,4517175.791,1.4064,1.773,3.925
OSE36,OSE,519556.3,4517169.072,1.4412,1.874,5.006
OSE37,OSE,519255.934,4516714.711,1.8475,1.82375,4.804
